Round;Timestamp;AccX;AccY;UpperBound;LowerBound
6;2681;11.555079;0.51966304;3.5;-3.5
6;2732;8.643317;2.4080524;3.5;-3.5
6;2783;8.133493;4.673434;3.5;-3.5
6;2835;5.720584;4.9673743;3.5;-3.5
6;2889;2.5279732;4.788446;3.5;-3.5
6;2942;1.0986786;4.190883;3.5;-3.5
6;2994;0.13749869;4.2521467;3.5;-3.5
6;3046;-0.17384388;3.8140602;3.5;-3.5
6;3099;0.056877382;3.377951;3.5;-3.5
6;3151;-0.7292769;2.8354785;3.5;-3.5
6;3203;-0.17777923;3.3765464;3.5;-3.5
6;3255;-0.9388783;3.3261442;3.5;-3.5
6;3306;-2.1337683;2.6461937;3.5;-3.5
6;3358;-2.972878;2.9237432;3.5;-3.5
6;3410;-3.4729204;2.554124;3.5;-3.5
6;3462;-4.611559;2.1673753;3.5;-3.5
6;3514;-5.506451;0.42113075;3.5;-3.5
6;3567;-5.5738096;-1.080186;3.5;-3.5
6;3617;-6.4295716;-1.901247;3.5;-3.5
6;3669;-8.126951;-2.782993;3.5;-3.5
6;3720;-9.501016;-3.2247834;3.5;-3.5
6;3772;-8.991639;-2.2299945;3.5;-3.5
6;3822;-8.074323;-2.0253472;3.5;-3.5
6;3872;-7.0829;-0.80625206;3.5;-3.5
6;3924;-5.4684415;0.22856022;3.5;-3.5
6;3982;-5.76789;1.0445912;3.5;-3.5
6;4041;-6.3908944;2.9114707;3.5;-3.5
6;4093;-6.483744;3.3362353;3.5;-3.5
6;4144;-5.4821568;3.9342995;3.5;-3.5
6;4197;-3.5486825;4.225479;3.5;-3.5
6;4248;-1.7699504;3.384834;3.5;-3.5
6;4299;0.6983347;3.7853758;3.5;-3.5
6;4350;1.878099;3.1879177;3.5;-3.5
6;4401;1.6813307;2.588332;3.5;-3.5
6;4452;0.5288978;2.6604056;3.5;-3.5
6;4508;-0.5001943;1.8972337;3.5;-3.5
6;4560;-2.5824406;1.7855097;3.5;-3.5
6;4613;-3.8933284;1.8018728;3.5;-3.5
6;4665;-4.3167615;1.656119;3.5;-3.5
6;4716;-4.135578;2.1885252;3.5;-3.5
6;4767;-3.3128371;2.0290704;3.5;-3.5
6;4819;-1.6137447;2.6014721;3.5;-3.5
6;4871;-1.8073704;2.791578;3.5;-3.5
6;4924;-1.4633962;2.4050856;3.5;-3.5
6;4977;-2.2339704;2.3243294;3.5;-3.5
6;5031;-1.7124574;2.353665;3.5;-3.5
6;5085;-0.7232842;2.239788;3.5;-3.5
6;5137;0.664106;2.3274562;3.5;-3.5
6;5190;2.3496933;2.414596;3.5;-3.5
6;5244;1.5852963;1.4968301;3.5;-3.5
6;5296;-0.3515806;-0.014913439;3.5;-3.5
6;5347;-3.0968118;-1.660973;3.5;-3.5
6;5400;-6.3241534;-2.4235425;3.5;-3.5
6;5452;-9.515388;-2.7737925;3.5;-3.5
6;5504;-9.955635;-2.859708;3.5;-3.5
6;5556;-10.352951;-2.6882513;3.5;-3.5
6;5608;-9.767205;-2.3779988;3.5;-3.5
6;5660;-8.370142;-1.7936891;3.5;-3.5
6;5710;-8.10756;-1.3059614;3.5;-3.5
6;5762;-7.609667;0.19465466;3.5;-3.5
6;5815;-7.537906;1.9575212;3.5;-3.5
6;5867;-7.688375;3.9422894;3.5;-3.5
6;5919;-7.0487676;4.7284513;3.5;-3.5
6;5969;-8.225755;5.525207;3.5;-3.5
6;6020;-7.0866666;5.641486;3.5;-3.5
6;6072;-4.847652;5.2836685;3.5;-3.5
6;6125;-3.9614336;4.2957125;3.5;-3.5
6;6176;-2.4674711;3.4237552;3.5;-3.5
6;6226;-0.37190136;3.0194793;3.5;-3.5
6;6278;1.4613949;3.008138;3.5;-3.5
6;6330;2.1200294;2.0166643;3.5;-3.5
6;6382;2.7370832;2.8184237;3.5;-3.5
6;6435;2.4268305;1.9330235;3.5;-3.5
6;6487;1.4024599;2.378834;3.5;-3.5
6;6540;1.8026378;2.610198;3.5;-3.5
6;6591;1.5469402;2.679406;3.5;-3.5
6;6643;2.4279196;2.5627847;3.5;-3.5
6;6695;2.7955475;3.1094017;3.5;-3.5
6;6748;2.2691123;1.9698058;3.5;-3.5
6;6800;2.6476264;2.2840734;3.5;-3.5
6;6852;1.5779988;1.7761526;3.5;-3.5
6;6904;-0.42646742;1.9035791;3.5;-3.5
6;6957;0.028961485;2.057557;3.5;-3.5
6;7009;-0.27186733;1.8148525;3.5;-3.5
6;7062;-0.69448847;1.4554757;3.5;-3.5
6;7114;-0.91984504;1.2149082;3.5;-3.5
6;7166;-1.278143;0.7952834;3.5;-3.5
6;7218;-0.56164044;0.93778706;3.5;-3.5
6;7270;-1.0245018;1.7243632;3.5;-3.5
6;7322;-1.5331786;0.8485238;3.5;-3.5
6;7374;-1.2423451;1.6748066;3.5;-3.5
6;7426;-0.6791646;0.8933244;3.5;-3.5
6;7477;-0.46884283;0.58950543;3.5;-3.5
6;7530;0.30091372;-0.6809422;3.5;-3.5
6;7582;0.61823565;-0.59396;3.5;-3.5
6;7635;0.39292783;-0.7618247;3.5;-3.5
6;7687;-1.622795;-0.90271777;3.5;-3.5
6;7740;-2.866881;-1.4274086;3.5;-3.5
6;7792;-4.512767;-1.3468349;3.5;-3.5
6;7845;-6.437142;-1.962861;3.5;-3.5
6;7899;-8.613871;-2.5749595;3.5;-3.5
6;7952;-6.258921;-3.1258063;3.5;-3.5
6;8005;-9.459247;-3.956453;3.5;-3.5
6;8057;-9.541122;-3.1801662;3.5;-3.5
6;8110;-10.625895;-2.5938253;3.5;-3.5
6;8162;-10.447748;-1.2897635;3.5;-3.5
6;8216;-10.784088;0.027285688;3.5;-3.5
6;8268;-11.492489;1.9697628;3.5;-3.5
6;8320;-11.297902;3.6633146;3.5;-3.5
6;8372;-7.298926;4.647681;3.5;-3.5
6;8425;-9.464454;3.7050905;3.5;-3.5
6;8479;-6.223829;4.9080815;3.5;-3.5
6;8531;-3.3977566;4.210641;3.5;-3.5
6;8583;-0.5735303;3.7091637;3.5;-3.5
6;8636;2.0761743;3.1254892;3.5;-3.5
6;8688;4.2400174;2.7375863;3.5;-3.5
6;8740;5.682825;2.904205;3.5;-3.5
6;8792;5.0336165;2.0769463;3.5;-3.5
6;8844;2.8173432;2.0727031;3.5;-3.5
6;8898;0.8933192;2.149689;3.5;-3.5
6;8951;0.39223555;1.5774411;3.5;-3.5
6;9003;0.005671452;2.300376;3.5;-3.5
6;9055;1.0129907;1.9748629;3.5;-3.5
6;9107;1.9032036;2.0623062;3.5;-3.5
6;9159;1.4699434;1.68464;3.5;-3.5
6;9211;0.21026476;2.252154;3.5;-3.5
6;9265;-0.68862224;2.5602024;3.5;-3.5
6;9318;-1.4503225;2.014637;3.5;-3.5
6;9370;-0.81824994;1.3672966;3.5;-3.5
6;9423;-0.20611487;1.6210611;3.5;-3.5
6;9476;0.9043738;1.9733652;3.5;-3.5
6;9528;0.8416935;2.1255484;3.5;-3.5
6;9581;-0.54803175;0.6510341;3.5;-3.5
6;9634;-0.39643002;0.85287184;3.5;-3.5
6;9686;-1.7074203;0.9453033;3.5;-3.5
6;9739;-4.219111;0.15895951;3.5;-3.5
6;9792;-5.1659913;-1.5684559;3.5;-3.5
6;9845;-5.327069;-2.544909;3.5;-3.5
6;9898;-6.134097;-1.971219;3.5;-3.5
