Round;Timestamp;AccX;AccY;AccZ;Acc Vector a;;;
4;03:34:37:742;8.85E-04;-0.006052561;-0.003580093;0.007087588;;;
5;03:34:37:753;7.97E-04;0.011790948;-0.003222466;0.012249296;;;
5;03:34:37:762;7.17E-04;0.001992729;-0.020137787;0.020248836;;;
5;03:34:37:772;6.45E-04;0.001793455;-8.86E-04;0.002101836;;;
5;03:34:37:782;5.81E-04;0.001614109;0.007822037;0.008007921;;;
5;03:34:37:792;-0.008096501;0.001452699;0.015659332;0.017688367;;;
5;03:34:37:802;0.009951398;0.001307428;-0.020382881;0.022720069;;;
5;03:34:37:812;3.37E-04;-0.007442437;-0.001106262;0.007531756;;;
5;03:34:37:822;-0.008315705;-0.015317321;-9.96E-04;0.01745745;;;
5;03:34:37:832;0.001134992;-0.01378559;-8.96E-04;0.013861253;;;
5;03:34:37:842;0.00102149;0.013450349;0.016431808;0.021259343;;;
5;03:34:37:852;9.19E-04;-0.005132936;0.006169319;0.008077916;;;
5;03:34:37:862;8.27E-04;-0.004619643;-0.003067017;0.005606451;;;
5;03:34:37:873;7.45E-04;0.004461445;-0.011380196;0.012246137;;;
5;03:34:37:882;6.70E-04;0.0040153;-0.018860817;0.019295135;;;
5;03:34:37:893;6.03E-04;0.00361377;0.008882523;0.009608453;;;
5;03:34:37:903;5.43E-04;-0.013985857;0.007994652;0.016118728;;;
5;03:34:37:914;4.89E-04;0.00465098;-0.001423836;0.004888521;;;
5;03:34:37:925;4.40E-04;0.004185882;-0.001281738;0.004399751;;;
5;03:34:37:935;3.56E-04;0.003390562;-0.001038551;0.003563896;;;
5;03:34:37:945;-0.008298568;-0.022805873;0.007684708;0.025456411;;;
6;03:34:37:954;-0.008298568;-0.022805873;0.007684708;0.025456411;;;
6;03:34:37:966;0.035511874;0.030656265;-0.001533508;0.046938803;;;
6;03:34:37:975;0.23020057;0.33787918;-0.027236938;0.409751747;;;
6;03:34:37:986;0.18994227;0.82985795;-0.024513245;0.85167081;;;
6;03:34:37:998;0.7484294;1.8673584;-0.116871834;2.015150976;;;
6;03:34:38:008;1.0011133;1.8271476;0.015482903;2.083491345;;;
6;03:34:38:018;1.0647653;1.5754799;-0.06363773;1.902606546;;;
6;03:34:38:029;1.0789566;1.5299805;-0.014178276;1.872214919;;;
6;03:34:38:039;0.505628;2.0751317;0.19409847;2.144645757;;;
6;03:34:38:050;-0.42408562;2.591625;-0.23040962;2.636182309;;;
6;03:34:38:060;-0.7522995;2.3927963;-0.08670044;2.509769995;;;
6;03:34:38:071;-0.80635643;2.0845637;-0.15560246;2.24049755;;;
6;03:34:38:082;-0.89448416;1.6703963;0.111849785;1.898113835;;;
6;03:34:38:091;-1.3049451;1.451642;0.30752373;1.97603573;;;
6;03:34:38:102;-1.7691702;1.1254761;0.01819706;2.096900278;;;
6;03:34:38:112;-1.997352;0.91811824;-0.6817713;2.301557789;;;
6;03:34:38:123;-1.952761;0.19711018;0.119031906;1.966290103;;;
6;03:34:38:134;-2.0677736;-0.36560583;0.012318611;2.099882568;;;
7;03:34:38:145;-1.7489474;-1.3116255;0.47652054;2.237465062;;;
7;03:34:38:154;-0.79434645;-2.2061746;0.19118881;2.352604125;;;
7;03:34:38:165;-0.79434645;-2.2061746;0.19118881;2.352604125;;;
7;03:34:38:175;-0.23224068;-2.269988;-0.12959957;2.285514712;;;
7;03:34:38:186;0.790802;-2.7411385;0.004027367;2.852932536;;;
7;03:34:38:196;1.7632551;-2.768694;-0.17737675;3.287278079;;;
7;03:34:38:207;2.4660804;-2.4745862;-0.3061638;3.506973948;;;
7;03:34:38:217;2.943479;-2.3046997;-0.060069084;3.7388927;;;
7;03:34:38:228;2.9815233;-2.3236203;0.4598732;3.807909594;;;
7;03:34:38:238;2.769562;-2.3670702;-0.034308434;3.643442267;;;
7;03:34:38:249;1.9840775;-2.8543699;-0.34116554;3.492904965;;;
7;03:34:38:260;0.6220876;-2.4051692;0.020477295;2.484401583;;;
7;03:34:38:269;-0.37098676;-1.3803117;-0.016047478;1.429387629;;;
7;03:34:38:280;-0.74760616;-1.2078041;0.14070225;1.427411211;;;
7;03:34:38:291;-1.0003723;-1.2335489;0.18696594;1.599169697;;;
7;03:34:38:302;-1.2192426;-1.2739574;0.12517357;1.767820226;;;
7;03:34:38:311;-1.1835096;-1.241372;0.2764187;1.737269898;;;
